date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2019-10-02,US.AAPL,1.0,1.0,1.0,0.03692575515212804,0.00830402812950696,-0.02506790151740257,0.01847056213963668
2019-10-03,US.AAPL,1.0,1.0,1.0,0.0444540688976971,0.007369124169183366,-0.016786143657527064,0.018238319512226844
2019-10-08,US.AAPL,1.0,1.0,1.0,0.05575492962851136,0.009484180033401905,-0.011714965212280326,0.02011503692742477
2019-10-29,US.AAPL,1.0,1.0,1.0,0.09084028644125097,0.0426939043951365,-0.02312788595632942,0.015374743838692336
2019-10-30,US.AAPL,1.0,1.0,1.0,0.08749735681578819,0.03777028693618775,-0.023248343692895856,0.01557630871052078
2019-11-20,US.AAPL,1.0,1.0,1.0,0.10504012346402636,0.03267979332831056,-0.014638712097118423,0.013148187577236509
2019-11-21,US.AAPL,1.0,1.0,1.0,0.09644037583423581,0.02868989449017034,-0.019056533129545805,0.01202872924375896
2019-11-22,US.AAPL,1.0,1.0,1.0,0.09148721664940562,0.022630203633523603,-0.01991763384571721,0.012007203813941327
2019-11-26,US.AAPL,1.0,1.0,1.0,0.093619184359923,0.012820947962059603,-0.010520404351860524,0.013335567445498138
2019-12-02,US.AAPL,1.0,1.0,1.0,0.08058191563606809,0.01196253180031164,-0.013739545997100588,0.013052803497639077
2019-12-03,US.AAPL,1.0,1.0,1.0,0.05773376113109174,0.006321000206087977,-0.031324671443254126,0.01494160724803802
2019-12-04,US.AAPL,1.0,1.0,1.0,0.0631936915444462,0.0032895238926339103,-0.02277479091548107,0.01485181587100181
2019-12-09,US.AAPL,1.0,1.0,1.0,0.07157325611793897,0.0011033268405508656,-0.014000221649092093,0.016260195672729648
